Cultivo;Campaña;Zona;Sembrado (Ha);Perdído(Ha);Cosechado(Ha);Rinde(qq/Ha);Producción(MTn)
Soja;2000/2001;VI;3140000;1000;3139000;27.3;8569470
Soja;2000/2001;VIII;150000;4000;146000;27.5;401500
Soja;2000/2001;VII;2100000;63000;2037000;27.1;5520270
Soja;2000/2001;X;150000;13000;137000;20;274000
Soja;2000/2001;XI;85000;1500;83500;19;158650
Soja;2000/2001;XII;150000;8000;142000;15.5;220100
Soja;2000/2001;TOTAL;11140000;287500;10852500;25.4;27512531
Soja;2001/2002;VI;3150000;21000;3129000;26.4;8260560
Soja;2001/2002;VIII;230000;9000;221000;25.5;563550
Soja;2001/2002;VII;2200000;18000;2182000;28.3;6175060
Soja;2001/2002;X;160000;3000;157000;22;345400
Soja;2001/2002;XI;60000;2000;58000;20;116000
Soja;2001/2002;XII;160000;7000;153000;20.5;313650
Soja;2001/2002;TOTAL;11700000;180000;11520000;26;29934700
Soja;2002/2003;VI;2920000;10000;2910000;32;9312000
Soja;2002/2003;VIII;780000;3300;776700;27;2097090
Soja;2002/2003;VII;2450000;10000;2440000;31.5;7686000
Soja;2002/2003;X;180000;700;179300;28;502040
Soja;2002/2003;XI;100000;5000;95000;17.9;170050
Soja;2002/2003;XII;190000;1000;189000;19;359100
Soja;2002/2003;TOTAL;12800000;110000;12690000;27.8;35273280
Soja;2003/2004;VI;3100000;4800;3095200;25.3;7830856
Soja;2003/2004;VIII;880000;2300;877700;20.5;1799285
Soja;2003/2004;VII;2500000;1000;2499000;29.2;7297080
Soja;2003/2004;X;250000;400;249600;21.2;529152
Soja;2003/2004;XI;230000;12000;218000;15.5;337900
Soja;2003/2004;XII;460000;25000;435000;16.5;717750
Soja;2003/2004;TOTAL;14500000;136000;14364000;22.1;31798423
Soja;2004/2005;VI;3030000;5000;3025000;33.2;10043000
Soja;2004/2005;VIII;1000000;0;1000000;24;2400000
Soja;2004/2005;VII;2550000;0;2550000;33.7;8593500
Soja;2004/2005;X;250000;0;250000;31;775000
Soja;2004/2005;XI;190000;0;190000;20;380000
Soja;2004/2005;XII;320000;10000;310000;26;806000
Soja;2004/2005;TOTAL;14670000;335000;14335000;27.7;39686350
Soja;2005/2006;VI;3250000;4000;3246000;30.5;9900300
Soja;2005/2006;VIII;1060000;5000;1055000;20.1;2120550
Soja;2005/2006;VII;2430000;10000;2420000;31.7;7671400
Soja;2005/2006;X;390000;500;389500;28.4;1104233
Soja;2005/2006;XI;220000;30000;190000;17;323000
Soja;2005/2006;XII;450000;50000;400000;20.5;820000
Soja;2005/2006;TOTAL;15630000;200000;15430000;26.4;40801596
Soja;2006/2007;VI;3355000;15000;3340000;33.5;11189000
Soja;2006/2007;VIII;1100000;5000;1095000;24.7;2704650
Soja;2006/2007;VII;2475000;10000;2465000;35;8627500
Soja;2006/2007;X;420000;2000;418000;30;1254000
Soja;2006/2007;XI;250000;6000;244000;16.9;412360
Soja;2006/2007;XII;470000;45000;425000;21;892500
Soja;2006/2007;TOTAL;16100000;180000;15920000;29.8;47501610
Soja;2007/2008;I;1090000;18000;1072000;29.2;3130240
Soja;2007/2008;II;1440000;50000;1390000;18;2502000
Soja;2007/2008;III;2110000;35000;2075000;28;5810000
Soja;2007/2008;IV;1345000;23000;1322000;26.5;3503300
Soja;2007/2008;V;985000;26000;959000;26.6;2550940
Soja;2007/2008;VI;3350000;25000;3325000;32.8;10906000
Soja;2007/2008;VII;2525000;19000;2506000;33.8;8470280
Soja;2007/2008;VIII;1135000;15000;1120000;22;2464000
Soja;2007/2008;IX;1205000;12500;1192500;31.5;3756375
Soja;2007/2008;X;440000;4500;435500;26.4;1149720
Soja;2007/2008;XI;245000;12000;233000;15.9;370470
Soja;2007/2008;XII;455000;35000;420000;18.7;785400
Soja;2007/2008;TOTAL;16600000;280000;16320000;28.2;46000825
Soja;2008/2009;I;1200000;18000;1182000;24;2836800
Soja;2008/2009;II;1720000;276600;1443400;8.5;1226890
Soja;2008/2009;III;2380000;45220;2334780;22;5136516
Soja;2008/2009;IV;1300000;65000;1235000;20;2470000
Soja;2008/2009;V;990000;108900;881100;16;1409760
Soja;2008/2009;VI;3550000;42600;3507400;28;9820720
Soja;2008/2009;VII;2600000;78000;2522000;19;4791800
Soja;2008/2009;VIII;1068000;128160;939840;11.8;1109011
Soja;2008/2009;IX;1310000;104800;1205200;13;1566760
Soja;2008/2009;X;495000;49500;445500;12;534600
Soja;2008/2009;XI;267000;42720;224280;7.5;168210
Soja;2008/2009;XII;560000;84000;476000;11.5;547400
Soja;2008/2009;XIII;130000;5550;124450;22;273790
Soja;2008/2009;XIV;150000;34600;115400;8;92320
Soja;2008/2009;XV;30000;6350;23650;9;21285
Soja;2008/2009;TOTAL;17750000;1090000;16660000;19.2;32005862
Soja;2009/2010;I;1204000;64000;1140000;27;3078000
Soja;2009/2010;II;1800000;52000;1748000;27.2;4754560
Soja;2009/2010;III;2400000;27000;2373000;26;6169800
Soja;2009/2010;IV;1400000;30000;1370000;24.3;3329100
Soja;2009/2010;V;1020000;18000;1002000;29;2905800
Soja;2009/2010;VI;3432000;24500;3407500;36;12267000
Soja;2009/2010;VII;2680000;31000;2649000;36.3;9615870
Soja;2009/2010;VIII;1209000;18000;1191000;25.8;3072780
Soja;2009/2010;IX;1520000;30000;1490000;28.5;4246500
Soja;2009/2010;X;507000;10000;497000;26.5;1317050
Soja;2009/2010;XI;310000;15000;295000;14.3;421850
Soja;2009/2010;XII;620000;16500;603500;23.5;1418225
Soja;2009/2010;XIII;151000;6000;145000;18;260275
Soja;2009/2010;XIV;205000;7000;198000;30.9;611820
Soja;2009/2010;XV;42000;1000;41000;20;82000
Soja;2009/2010;TOTAL;18500000;350000;18150000;29.5;53550630
Soja;2010/2011;I;1225000;10000;1215000;31;3766500
Soja;2010/2011;II;1810000;22000;1788000;24.5;4380600
Soja;2010/2011;III;2320000;20000;2300000;25;5750000
Soja;2010/2011;IV;1400000;22000;1378000;26.4;3637920
Soja;2010/2011;V;1100000;18000;1082000;26.2;2834840
Soja;2010/2011;VI;3360000;16000;3344000;30.4;10165760
Soja;2010/2011;VII;2600000;17000;2583000;32.8;8472240
Soja;2010/2011;VIII;1140000;18000;1122000;23;2580600
Soja;2010/2011;IX;1540000;35000;1505000;23.2;3491600
Soja;2010/2011;X;561000;14000;547000;24.2;1323740
Soja;2010/2011;XI;330000;14000;316000;15.4;486640
Soja;2010/2011;XII;715000;20000;695000;20;1390000
Soja;2010/2011;XIII;131000;13000;118000;22.4;264320
Soja;2010/2011;XIV;216000;7000;209000;27;564300
Soja;2010/2011;XV;52000;4000;48000;19;91200
Soja;2010/2011;TOTAL;18500000;250000;18250000;27;49200260
Soja;2011/2012;I;1260000;25000;1235000;15.2;1871381
Soja;2011/2012;II;1930000;350000;1580000;9.4;1481936
Soja;2011/2012;III;2330000;21200;2308800;20.5;4729225
Soja;2011/2012;IV;1400000;41000;1359000;15.5;2101250
Soja;2011/2012;V;1116000;7500;1108500;21.3;2366370
Soja;2011/2012;VI;3410000;1000;3409000;28.1;9574235
Soja;2011/2012;VII;2670000;16000;2654000;25.7;6812862
Soja;2011/2012;VIII;1140000;2000;1138000;21.2;2414456
Soja;2011/2012;IX;1550000;110000;1440000;28.7;4136608
Soja;2011/2012;X;565000;67000;498000;27.2;1353199
Soja;2011/2012;XI;328000;11000;317000;20.5;649810
Soja;2011/2012;XII;740000;1800;738200;22.4;1652426
Soja;2011/2012;XIII;137000;4000;133000;13;172508
Soja;2011/2012;XIV;222000;1500;220500;22;484832
Soja;2011/2012;XV;52000;1000;51000;19.4;99055
Soja;2011/2012;TOTAL;18850000;660000;18190000;21.9;39900152
Soja;2012/2013;I;1318579;330253;988326;7.6;754348
Soja;2012/2013;II;1948782;145736;1803046;14.2;2560725
Soja;2012/2013;III;2423858;21391;2402467;23.1;5554408
Soja;2012/2013;IV;1396142;23330;1372812;21.1;2902093
Soja;2012/2013;V;1114975;16543;1098431;30.4;3336560
Soja;2012/2013;VI;3296447;50477;3245970;36;11675555
Soja;2012/2013;VII;2598376;13634;2584741;34.1;8820144
Soja;2012/2013;VIII;1163452;9077;1154375;21.8;2517680
Soja;2012/2013;IX;1318579;11635;1306944;27.6;3607166
Soja;2012/2013;X;405269;12604;392665;23.7;930420
Soja;2012/2013;XI;402360;14543;387817;15.6;604219
Soja;2012/2013;XII;1296279;48477;1247802;19.5;2434951
Soja;2012/2013;XIII;150279;7756;142523;17.1;244227
Soja;2012/2013;XIV;208452;8726;199726;24;479142
Soja;2012/2013;XV;58173;5817;52355;16.7;87433
Soja;2012/2013;TOTAL;19100000;720000;18380000;25.3;46509071
Soja;2013/2014;I;1064395;92880;971515;21.8;2118747
Soja;2013/2014;II;1596110;58900;1537210;26;3995857
Soja;2013/2014;III;2185725;39600;2146125;31.8;6830285
